APA,20.944767070695896,True
BNTX,20.944767070695896,True
CDEV,16.510272026953484,True
CIVI,17.106043921711528,True
CLF,13.377398524302755,True
CLR,19.916391850240473,False
CNQ,19.92001687640695,True
COP,17.593680838084104,True
CPE,17.593680838084104,False
CPRX,13.667847537649987,True
CRC,16.938210700699855,True
CRK,42.16503036036152,True
CTRA,17.742878455757193,False
DAC,17.742878455757193,True
DAVA,17.742878455757193,True
DVN,29.212196521015617,True
EDRY,34.72591375806263,True
EGLE,11.648112891509719,True
FANG,13.303603891463462,True
FLMN,15.121197661526539,False
FTNT,10.977693353491741,False
GDEN,10.859766940588392,True
GLNG,19.472572532269307,True
GNK,10.434390293234188,True
GOGL,15.65611246134332,True
GRIN,39.460748394482636,True
GSL,14.47278322202991,True
HDSN,38.4986990264665,True
HPK,29.632296865222987,True
IRMD,29.632296865222987,True
IRT,12.825340623687408,True
KRP,14.937209396424137,True
LLY,12.972239520473607,False
MGY,21.570904326152046,False
MNRL,11.57379847379073,True
MRO,24.131328359026345,True
MTDR,18.37734107125999,True
MUR,22.130492746394214,False
NRP,30.97314158591678,True
NRT,39.13760129691799,True
NVDA,39.13760129691799,True
NVO,12.024209035732891,False
OVV,21.889928702781752,True
OXY,24.277378618730072,False
PBR,19.900426207509973,True
PDCE,18.090349484015988,True
PSA,18.090349484015988,True
